Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"De Roo, Jonathan; Yazdani, Nuri; Drijvers, Emile; Lauria, Alessandro; Maes, Jorick; Owen, Jonathan S; Van Driessche, Isabel; Niederberger, Markus; Wood, Vanessa; Martins, Jose C; ",Probing solvent–ligand interactions in colloidal nanocrystals by the NMR line broadening,Chemistry of Materials,30,15,5485-5492,2018,American Chemical Society
"Singh, Shalini; Tomar, Renu; Ten Brinck, Stephanie; De Roo, Jonathan; Geiregat, Pieter; Martins, José C; Infante, Ivan; Hens, Zeger; ","Colloidal CdSe nanoplatelets, a model for surface chemistry/optoelectronic property relations in semiconductor nanocrystals",Journal of the American Chemical Society,140,41,13292-13300,2018,American Chemical Society
"Grigel, Valeriia; Sagar, Laxmi Kishore; De Nolf, Kim; Zhao, Qiang; Vantomme, Andre; De Roo, Jonathan; Infante, Ivan; Hens, Zeger; ","The surface chemistry of colloidal HgSe nanocrystals, toward stoichiometric quantum dots by design",Chemistry of Materials,30,21,7637-7647,2018,American Chemical Society
"Almeida, Guilherme; Ashton, Olivia J; Goldoni, Luca; Maggioni, Daniela; Petralanda, Urko; Mishra, Nimai; Akkerman, Quinten A; Infante, Ivan; Snaith, Henry J; Manna, Liberato; ",The phosphine oxide route toward lead halide perovskite nanocrystals,Journal of the American Chemical Society,140,44,14878-14886,2018,American Chemical Society
"Kirkwood, Nicholas; Monchen, Julius OV; Crisp, Ryan W; Grimaldi, Gianluca; Bergstein, Huub AC; Du Fossé, Indy; Van Der Stam, Ward; Infante, Ivan; Houtepen, Arjan J; ",Finding and fixing traps in II–VI and III–V colloidal quantum dots: the importance of Z-type ligand passivation,Journal of the American Chemical Society,140,46,15712-15723,2018,American Chemical Society
"Imran, Muhammad; Ijaz, Palvasha; Baranov, Dmitry; Goldoni, Luca; Petralanda, Urko; Akkerman, Quinten; Abdelhady, Ahmed L; Prato, Mirko; Bianchini, Paolo; Infante, Ivan; ","Shape-pure, nearly monodispersed CsPbBr3 nanocubes prepared using secondary aliphatic amines",Nano letters,18,12,7822-7831,2018,American Chemical Society
"Bodnarchuk, Maryna I; Boehme, Simon Christian; ten Brinck, Stephanie; Bernasconi, Caterina; Shynkarenko, Yevhen; Krieg, Franziska; Widmer, Roland; Aeschlimann, Beat; Günther, Detlef; Kovalenko, Maksym V; ",Rationalizing and Controlling the Surface Structure and Electronic Passivation of Cesium Lead Halide Nanocrystals,ACS Energy Letters,,,,2019,American Chemical Society
"Proppe, Andrew H; Elkins, Madeline H; Voznyy, Oleksandr; Pensack, Ryan D; Zapata, Felipe; Besteiro, Lucas V; Quan, Li Na; Quintero-Bermudez, Rafael; Todorovic, Petar; Kelley, Shana O; ",Spectrally resolved ultrafast exciton transfer in mixed perovskite quantum wells,The journal of physical chemistry letters,10,3,419-426,2019,American Chemical Society
"Imran, Muhammad; Ijaz, Palvasha; Goldoni, Luca; Maggioni, Daniela; Petralanda, Urko; Prato, Mirko; Almeida, Guilherme; Infante, Ivan; Manna, Liberato; ",Simultaneous cationic and anionic ligand exchange for colloidally stable CsPbBr3 nanocrystals,ACS Energy Letters,4,4,819-824,2019,American Chemical Society
"Akkerman, Quinten A; Bladt, Eva; Petralanda, Urko; Dang, Zhiya; Sartori, Emanuela; Baranov, Dmitry; Abdelhady, Ahmed L; Infante, Ivan; Bals, Sara; Manna, Liberato; ",Fully inorganic Ruddlesden–Popper double Cl–I and triple Cl–Br–I lead halide perovskite nanocrystals,Chemistry of materials,31,6,2182-2190,2019,American Chemical Society
